level,pattern,category,subcategory,confidence,documentation_key,notes
package,android.location,Location,GPS,HIGH,,
package,android.hardware.camera,Camera,Legacy Camera,HIGH,,
package,android.hardware.camera2,Camera,Camera2,HIGH,,
package,android.bluetooth,Bluetooth,Classic,HIGH,,
package,android.bluetooth.le,Bluetooth,BLE,HIGH,,
package,android.nfc,NFC,General,HIGH,,
package,android.accounts,Accounts,Account Management,HIGH,,
package,android.telephony,Device Identifiers,Telephony,HIGH,,
package,android.net.wifi,Connectivity,WiFi,HIGH,,
package,android.app.admin,Device Administration,Device Policy,HIGH,,
package,android.content.pm,Package Manager,Installed Apps,HIGH,,
package,android.hardware.biometrics,Authentication,Biometric,HIGH,,
package,android.net,Connectivity,General,HIGH,,
package,android.os.storage,Storage,External Storage,HIGH,,
package,android.hardware.fingerprint,Authentication,Fingerprint,HIGH,,
package,android.media,Microphone,Audio Recording,HIGH,,
package,android.media.projection,Screen Capture,Projection,HIGH,,
package,android.app.usage,Package Manager,Usage Stats,HIGH,,
package,android.accessibilityservice,Device Administration,Accessibility,HIGH,,
package,com.google.android.gms.location,Location,Fused Location,HIGH,,
package,com.google.android.gms.ads.identifier,Advertising ID,Tracking,HIGH,,
package,com.google.android.gms.auth,Authentication,Google Sign-In,HIGH,,
package,com.google.android.gms.nearby,Nearby Devices,GMS Nearby,HIGH,,
package,com.google.android.gms.fitness,Health & Fitness,GMS Fitness,HIGH,,
package,com.google.android.gms.code.scanner,Camera,Barcode Scanner,HIGH,,
package,android.hardware.usb,Connectivity,USB,HIGH,,
package,android.service.notification,Notifications,General,HIGH,,
package,android.service.voice,Microphone,Voice Input,HIGH,,
package,android.net.nsd,Connectivity,Network Discovery,HIGH,,
package,android.companion,Nearby Devices,Companion Pairing,HIGH,,
class,android.hardware.SensorManager,Sensors,General,VERY_HIGH,,
class,android.location.LocationManager,Location,GPS Provider,VERY_HIGH,,
class,android.telephony.TelephonyManager,Device Identifiers,State and IDs,VERY_HIGH,,
class,android.net.ConnectivityManager,Connectivity,Network State,VERY_HIGH,,
class,android.net.wifi.WifiManager,Connectivity,WiFi Network Info,VERY_HIGH,,
class,android.bluetooth.BluetoothAdapter,Bluetooth,Adapter Info,VERY_HIGH,,
class,android.bluetooth.le.BluetoothLeScanner,Bluetooth,LE Scanning,VERY_HIGH,,
class,android.app.ActivityManager,Package Manager,Running Processes,VERY_HIGH,,
class,android.app.usage.UsageStatsManager,Package Manager,Usage Access,VERY_HIGH,,
class,android.content.pm.PackageManager,Package Manager,Installed Packages,VERY_HIGH,,
class,android.provider.Settings.Secure,Device Identifiers,Android ID,VERY_HIGH,,
class,android.hardware.fingerprint.FingerprintManager,Authentication,Fingerprint,VERY_HIGH,,
class,android.hardware.biometrics.BiometricManager,Authentication,Biometric,VERY_HIGH,,
class,android.app.NotificationManager,Notifications,Posting,VERY_HIGH,,
class,android.app.NotificationListenerService,Notifications,Read Notifications,VERY_HIGH,,
class,android.accessibilityservice.AccessibilityService,Device Administration,Accessibility,VERY_HIGH,,
class,android.content.ClipboardManager,Clipboard,General,VERY_HIGH,,
class,android.os.storage.StorageManager,Storage,Mounted Storage,VERY_HIGH,,
class,android.nfc.NfcAdapter,NFC,NFC Operations,VERY_HIGH,,
class,com.google.android.gms.location.FusedLocationProviderClient,Location,Fused Location,VERY_HIGH,,
